"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Aparecida de Goiânia";"70,10";"72,4";"75,4";"76,80";"77";"78,1";"79,9";"81,1";"97";"84,83";"86,36"
"Percentual da População Atendida com Água (%)";"Aparecida do Rio Doce";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Aporé";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Araçu";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Aragarças";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Aragoiânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Araguapaz";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Arenópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Aruanã";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Aurilândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Avelinópolis";"97,70";"98,3";"98,6";"98,60";"98,9";"99";"99,1";"99,1";"97";"99,2";"99,20"
"Percentual da População Atendida com Água (%)";"Baliza";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Barro Alto";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Bela Vista de Goiás";"98,50";"98,6";"98,6";"98,60";"98,6";"98,6";"98,6";"98,6";"97";"98,52";"98,52"
"Percentual da População Atendida com Água (%)";"Bom Jardim de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Bom Jesus de Goiás";"90,40";"91,5";"100,0";"100,00";"97,9";"98,5";"98,9";"100";"97";"98,99";"98,18"
"Percentual da População Atendida com Água (%)";"Bonfinópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Bonópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Brazabrantes";"93,20";"92,8";"92,7";"92,90";"93,6";"94";"94,1";"94,2";"97";"94,41";"94,32"
"Percentual da População Atendida com Água (%)";"Britânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Buriti Alegre";"99,10";"99,2";"99,2";"99,30";"99,2";"99,3";"99,3";"99,4";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Buriti de Goiás";"93,40";"94,7";"95,7";"96,60";"97,4";"97,4";"97,7";"98,3";"98";"98,02";"98,02"
"Percentual da População Atendida com Água (%)";"Buritinópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"98";"100";"100"
"Percentual da População Atendida com Água (%)";"Cabeceiras";"97,10";"97,0";"97,2";"97,30";"97,2";"97,4";"97,6";"97,6";"98";"97,72";"97,70"
"Percentual da População Atendida com Água (%)";"Cachoeira Alta";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"98";"100";"100"
"Percentual da População Atendida com Água (%)";"Cachoeira de Goiás";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Cachoeira Dourada";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Caçu";"99,70";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Caiapônia";"96,90";"96,9";"96,7";"96,80";"96,8";"96,8";"97";"97,1";"100";"97,15";"97,13"
"Percentual da População Atendida com Água (%)";"Caldas Novas";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Caldazinha";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Campestre de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
