"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Nova Veneza";"94,10";"96,7";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Novo Brasil";"99,20";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Novo Gama";"96,50";"97,5";"97,8";"97,50";"97,3";"97,6";"98,6";"99,8";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Novo Planalto";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Orizona";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Ouro Verde de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Ouvidor";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Padre Bernardo";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"99,7";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Palestina de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Palmeiras de Goiás";"90,80";"97,3";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Palmelo";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Palminópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Panamá";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Paranaiguara";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Paraúna";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Perolândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Petrolina de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Pilar de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Piracanjuba";"99,40";"99,5";"99,8";"99,90";"99,9";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Piranhas";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Pirenópolis";"100,00";"100,0";"99,3";"99,30";"99,2";"99,3";"99,2";"99,3";"100";"99,21";"99,06"
"Percentual da População Atendida com Água (%)";"Pires do Rio";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Planaltina";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Pontalina";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Porangatu";"99,70";"99,7";"99,7";"99,70";"99,7";"99,7";"99,7";"99,8";"100";"99,78";"100"
"Percentual da População Atendida com Água (%)";"Porteirão";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Portelândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Posse";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Professor Jamil";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Quirinópolis";"94,80";"99,6";"100,0";"100,00";"98,6";"99";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Rialma";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Rianápolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Rio Quente";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Rio Verde";"97,30";"99,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Rubiataba";"98,50";"99,9";"93,6";"93,70";"93,7";"93,7";"93,8";"93,9";"100";"93,87";"93,91"
"Percentual da População Atendida com Água (%)";"Sanclerlândia";"95,10";"95,3";"95,3";"95,50";"95,6";"95,8";"95,7";"95,7";"100";"95,77";"95,85"
"Percentual da População Atendida com Água (%)";"Santa Bárbara de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Cruz de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Fé de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Helena de Goiás";"99,90";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Isabel";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Rita do Araguaia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Rita do Novo Destino";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Santa Rosa de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Tereza de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santa Terezinha de Goiás";"78,40";"80,8";"82,7";"85,30";"85";"87,3";"86";"87";"100";"89,72";"92,96"
"Percentual da População Atendida com Água (%)";"Santo Antônio da Barra";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santo Antônio de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Santo Antônio do Descoberto";"91,60";"96,8";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São Domingos";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São Francisco de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São João d'Aliança";"84,70";"86,1";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São João da Paraúna";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São Luis de Montes Belos";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São Luiz do Norte";"71,60";"72,7";"73,6";"74,30";"73,5";"73,4";"73";"74,4";"100";"82,12";"87,23"
"Percentual da População Atendida com Água (%)";"São Miguel do Araguaia";"90,20";"92,7";"94,4";"96,10";"96,6";"98,3";"98,3";"98,3";"100";"98,33";"98,38"
"Percentual da População Atendida com Água (%)";"São Miguel do Passa Quatro";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São Patrício";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"São Simão";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Senador Canedo";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Serranópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Silvânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Simolândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Sítio d'Abadia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Taquaral de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Teresina de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Terezópolis de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Três Ranchos";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Trindade";"99,30";"99,3";"99,3";"99,30";"99,3";"99,3";"99,3";"99,9";"100";"99,94";"100"
"Percentual da População Atendida com Água (%)";"Trombas";"[2]";"[2]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Turvânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Turvelândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Uirapuru";"96,60";"96,8";"97,6";"97,50";"97,5";"97,8";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Uruaçu";"98,30";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Uruana";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Urutaí";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Valparaíso de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Varjão";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Vianópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Vicentinópolis";"[2]";"[2]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Vila Boa";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"99,9";"[1]";"97,66";"97,37"
"Percentual da População Atendida com Água (%)";"Vila Propício";"83,30";"92,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Esgoto (%)";"Abadiânia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Água Fria de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Águas Lindas de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Alexânia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Alto Paraíso de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Alvorada do Norte";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Barro Alto";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Cabeceiras";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Cavalcante";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Cidade Ocidental";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Cocalzinho de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Corumbá de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Cristalina";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Flores de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Formosa";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Goianésia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Luziânia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Mimoso de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Niquelândia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Novo Gama";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Padre Bernardo";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Pirenópolis";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Planaltina";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Santo Antônio do Descoberto";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"São João d’Aliança";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Simolândia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Valparaíso de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Vila Boa";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Vila Propício";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Esgoto (%)";"Abadia de Goiás";"43,50";"46,6";"49,3";"49,40";"49,6";"51,4";"51";"50";"49";"48,37";"48,05"
"Percentual da População Atendida com Esgoto (%)";"Abadiânia";"[2]";"[2]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Acreúna";"25,20";"25,1";"25,3";"34,70";"44,2";"43,7";"44";"43,5";"43";"43,12";"43,17"
"Percentual da População Atendida com Esgoto (%)";"Adelândia";"-";"-";"-";"0,10";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Água Fria de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Água Limpa";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Águas Lindas de Goiás";"-";"-";"-";"2,80";"26,7";"40,3";"44";"47,7";"74";"81,67";"88,48"
"Percentual da População Atendida com Esgoto (%)";"Alexânia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Aloândia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Alto Horizonte";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Alto Paraíso de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Alvorada do Norte";"2,40";"2,3";"2,2";"2,20";"2";"56,3";"67";"95,1";"96";"95,92";"95,90"
"Percentual da População Atendida com Esgoto (%)";"Amaralina";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Americano do Brasil";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Amorinópolis";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Anápolis";"57,50";"59,5";"61,1";"63,80";"66,9";"72,2";"78";"80,8";"82";"83,05";"84,92"
"Percentual da População Atendida com Esgoto (%)";"Anhanguera";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Anicuns";"40,30";"41,4";"42,7";"43,10";"43,7";"43,3";"43";"44,3";"50";"50,1";"49,80"
"Percentual da População Atendida com Esgoto (%)";"Aparecida de Goiânia";"21,80";"22,8";"24,7";"32,30";"36,2";"48";"54";"60,1";"67";"75,89";"76,89"
"Percentual da População Atendida com Esgoto (%)";"Aparecida do Rio Doce";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Esgoto (%)";"Aporé";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Araçu";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Aragarças";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Aragoiânia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Araguapaz";"69,00";"69,8";"70,2";"71,80";"72,6";"72,3";"72";"72,5";"73";"72,51";"73,36"
"Percentual da População Atendida com Esgoto (%)";"Arenópolis";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Aruanã";"37,50";"43,1";"48,2";"48,20";"50,9";"52,4";"53";"53,5";"54";"54,52";"55,34"
"Percentual da População Atendida com Esgoto (%)";"Aurilândia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Avelinópolis";"-";"-";"0,1";"0,10";"0,1";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Baliza";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Barro Alto";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Bela Vista de Goiás";"57,00";"59,2";"61,2";"62,80";"66,3";"68,7";"68";"68,3";"68";"68,11";"68,08"
"Percentual da População Atendida com Esgoto (%)";"Bom Jardim de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"0,04";"0"
"Percentual da População Atendida com Esgoto (%)";"Bom Jesus de Goiás";"89,30";"99,3";"100,0";"100,00";"100";"100";"100";"100";"100";"-";"100"
"Percentual da População Atendida com Esgoto (%)";"Bonfinópolis";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Bonópolis";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Brazabrantes";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Britânia";"93,30";"93,8";"94,9";"99,40";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Esgoto (%)";"Buriti Alegre";"16,20";"16,2";"16,3";"16,30";"16,6";"16,5";"16";"16,4";"0";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Buriti de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Buritinópolis";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Cabeceiras";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Cachoeira Alta";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"89";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Cachoeira de Goiás";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Cachoeira Dourada";"72,30";"77,0";"79,8";"82,50";"83,8";"86";"87";"87,6";"94";"89,7";"89,80"
"Percentual da População Atendida com Esgoto (%)";"Caçu";"95,80";"96,6";"99,6";"100,00";"100";"100";"100";"100";"0";"100";"100"
"Percentual da População Atendida com Esgoto (%)";"Caiapônia";"93,60";"93,6";"93,6";"93,60";"93,6";"93,6";"94";"93,6";"0";"93,64";"93,64"
"Percentual da População Atendida com Esgoto (%)";"Caldas Novas";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"0";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Caldazinha";"-";"-";"-";"-";" -   ";"0,1";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Campestre de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Campinaçu";"-";"-";"-";"-";"0,3";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Campinorte";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"95";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Campo Alegre de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Campo Limpo de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Campos Belos";"75,20";"97,5";"97,6";"93,90";"94,6";"95";"95";"95,1";"0";"95,08";"95,08"
"Percentual da População Atendida com Esgoto (%)";"Campos Verdes";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Carmo do Rio Verde";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Castelândia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"100";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Catalão";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"0";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Caturaí";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"62";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Cavalcante";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Ceres";"82,30";"87,0";"91,4";"93,00";"96,9";"98,8";"100";"100";"0";"100";"100"
"Percentual da População Atendida com Esgoto (%)";"Cezarina";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"95";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Chapadão do Céu";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"48";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Cidade Ocidental";"58,10";"62,7";"62,4";"63,10";"63,1";"63,1";"63";"62,5";"0";"62,03";"61,46"
"Percentual da População Atendida com Esgoto (%)";"Cocalzinho de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Colinas do Sul";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"0";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Córrego do Ouro";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Corumbá de Goiás";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"0";"[1]";"[1]"
"Percentual da População Atendida com Esgoto (%)";"Corumbaíba";"94,40";"94,4";"94,7";"94,70";"94,7";"94,7";"95";"94,7";"0";"94,74";"94,49"
"Percentual da População Atendida com Esgoto (%)";"Cristalina";"26,60";"26,6";"27,5";"28,10";"34";"41,3";"42";"46,3";"0";"48,45";"48,22"
"Percentual da População Atendida com Esgoto (%)";"Cristianópolis";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Crixás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Cromínia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Cumari";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Damianópolis";"-";"0,1";"0,7";"0,40";"0,1";"0,1";" -   ";"0";"100";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Damolândia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Davinópolis";"-";"0,1";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Diorama";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Divinópolis de Goiás";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Doverlândia";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"99";"-";"0"
"Percentual da População Atendida com Esgoto (%)";"Edealina";"-";"-";"-";"-";" -   ";" -   ";" -   ";"0";"0";"-";"0"
